"subj_id","trial","pA","xA1","xA2","pB","xB1","xB2","choice"
2,25,0.05,60,76,0.84,95,17,0
2,26,0.62,1,83,0.41,37,24,1
2,27,0.8,54,21,0.49,98,3,0
2,28,0.34,24,59,0.42,47,64,0
2,29,0.19,30,97,0.14,85,82,1
2,30,0.74,62,0,0.44,23,31,0
2,31,0.99,31,68,0.04,32,47,1
2,32,0.76,37,5,0.18,12,28,0
2,33,0.74,65,6,0.64,93,35,1
2,34,0.08,82,72,0.27,47,77,1
2,35,0.88,79,82,0.2,57,94,1
2,36,0.56,63,21,1,36,0,0
2,37,0.93,86,27,0.8,87,18,0
2,38,0.61,68,39,0.6,77,48,0
2,39,0.68,41,65,0.85,100,2,1
2,40,0,0,46,0.36,52,36,0
2,41,0.91,80,19,0.64,37,65,0
2,42,0.73,75,34,0.9,56,82,0
2,43,0.87,77,72,0.26,67,100,0
2,44,0.92,63,5,0.63,43,53,0
2,45,0.05,56,72,0.95,68,95,0
2,46,0.25,84,43,0.43,7,97,0
2,47,0.78,32,99,0.32,39,56,1
2,48,0.09,83,67,0.48,77,6,0
2,49,0.08,54,31,0.15,44,29,0
2,50,0.04,39,28,0.39,53,20,0
2,51,0.44,14,72,0.21,9,31,0
2,52,0.31,39,51,0.84,16,91,0
2,53,0.1,45,14,0.14,25,27,1
2,54,0.51,44,38,0.38,20,86,1
2,55,0.33,85,60,0.24,98,26,1
2,56,0.68,30,67,0.59,7,59,0
2,57,0.49,15,50,0.94,64,14,1
2,58,0.52,68,90,0.19,1,87,0
2,59,0.63,65,74,0.47,7,85,0
2,60,0.28,7,74,0.71,55,63,1
2,61,0.33,-23,-29,0.43,-67,-28,0
2,62,0.76,-3,-92,0.62,-14,-83,0
2,63,0.82,-40,-90,0.17,-46,-64,1
2,64,0.3,-89,-72,0.96,-96,-37,0
2,65,0.13,-51,-56,0.93,-47,-70,1
2,66,0.96,-61,-56,0.34,-7,-63,1
2,67,0.44,-59,0,0.43,-80,-24,0
2,68,0.25,-94,-37,0.83,-49,-11,0
2,69,0.16,-15,-67,0.72,-56,-83,0
2,70,0.51,-26,-76,0.77,-48,-34,1
2,71,0.49,-1,-54,0.77,-33,-30,0
2,72,0.73,-49,-75,0.17,-2,-100,0
2,73,0.6,-46,-21,0.42,-99,-37,1
2,74,0.29,-67,-28,0.05,-46,-44,0
2,75,0.56,-4,-80,0.04,-46,-58,0
2,76,0.77,-77,-62,0.71,-94,-51,0
2,77,0.38,-22,-15,0.38,-4,-36,0
2,78,0.56,-6,-59,0.64,-27,-83,1
2,79,0.37,-91,-33,0.49,-41,-61,0
2,80,0.61,-73,-58,0.44,-83,-8,0
2,81,0.09,-54,-41,0.79,-65,-28,0
2,82,0.29,-25,-86,0.76,-38,-99,0
2,83,0.93,-55,-17,0.27,-88,-35,1
2,84,0.45,-37,-34,0.41,-11,-54,0
2,85,0.13,-19,-56,0.7,-32,-37,0
2,86,0.66,-8,-95,0.93,-42,-30,1
2,87,0.33,-23,-96,0.29,-40,-82,1
2,88,0.73,-73,-54,0.17,-42,-70,1
2,89,0.03,-75,-27,0.69,-41,-48,0
2,90,0.48,-59,-2,0.14,-77,-9,0
2,91,0.58,-50,-54,0.14,-73,-40,1
2,92,0.13,-29,-76,0.55,-100,-28,1
2,93,0.19,-68,-46,0.61,-9,-90,0
2,94,0.84,-57,-90,0.25,-63,-30,1
2,95,0.97,-58,-65,0.18,-52,-74,0
2,96,0.99,-96,-2,0.47,-90,-66,1
2,97,0.59,-85,-7,0.52,-9,-73,0
2,98,0.56,-58,-80,0.86,-58,-97,1
2,99,0.65,-72,-8,0.25,-90,-39,1
2,100,0.59,-41,-57,0.42,-51,-30,1
2,101,0.63,-96,-38,0.17,-12,-69,0
2,102,0.04,-98,-25,0.4,-78,-22,1
2,103,0.5,-21,-77,0.39,-77,-75,0
2,104,0.79,-67,-37,0.46,0,-97,0
2,105,0.4,-60,-82,0.47,-31,-90,1
2,106,0.21,-60,-16,0.45,-6,-51,1
2,107,0.48,-15,-91,0.28,-48,-74,1
2,108,0.04,-15,-60,0.88,-34,-77,0
2,109,0.99,-24,-13,0.44,-15,-62,0
2,110,0.39,-35,-72,0.76,-57,-28,0
2,111,0.76,-33,-53,0.52,-18,-60,1
2,112,0.43,-55,-53,0.08,-77,-51,1
2,113,0.75,-100,-84,0.95,-85,-29,1
2,114,0.53,-93,-26,0.8,-52,-93,1
2,115,0.59,-55,-77,0.47,-30,-61,0
2,116,0.66,-58,-68,0.68,-67,-49,0
2,117,0.86,-29,-30,0.26,-17,-43,1
2,118,0.32,-83,-19,0.15,-15,-52,1
2,119,0.56,-9,-56,0.64,-15,-80,1
2,120,0.49,-66,-92,0.78,-97,-34,1
2,121,0.85,-55,27,0.02,73,-88,0
2,122,0.18,-19,73,0.94,58,-54,1
2,123,1,-48,0,0.9,-71,87,1
2,124,0.43,-47,63,0.02,-69,14,1
2,125,0.48,58,-5,0.4,-40,96,1
2,126,0.93,-28,79,0.63,-81,89,1
2,127,0.43,-91,63,0.27,-83,24,0
2,128,0.73,-38,40,0.54,-30,7,0
2,129,0.94,-66,92,0.03,31,-49,1
2,130,0.24,-88,79,0.01,-100,32,1
2,131,0.86,-26,82,0.6,-39,31,0
2,132,0.06,-82,54,0.91,38,-73,0
2,133,0.05,56,-56,0.47,29,-80,1
2,134,0.37,-8,52,0.87,23,-39,0
2,135,0.07,-7,25,0.87,48,-10,0
2,136,0.81,-42,16,0.47,27,-60,1
2,137,0.73,-31,9,0.07,39,-27,0
2,138,0.92,-73,96,0.11,16,-48,1
2,139,0.75,72,-38,0.45,60,-8,0
2,140,0.24,-25,36,0.48,-28,67,0
2,141,0.79,-70,98,0.65,-85,93,0
2,142,0.14,-92,76,0.94,99,-96,0
2,143,0.14,93,-91,0.32,0,-76,0
2,144,0.31,-44,26,0.38,84,-41,0
2,145,0.74,56,-76,0.4,-31,92,1
2,146,0.28,-59,96,0.04,-4,63,1
2,147,0.96,17,-48,0.49,-60,84,0
2,148,0.43,-97,59,0.85,-28,83,1
2,149,0.38,-49,2,0.22,19,-18,1
2,150,0.39,76,-7,0.06,-65,37,1
2,151,0.44,71,-95,0.63,-31,4,0
2,152,0.97,31,-20,0.36,-54,99,0
2,153,0.97,-51,30,0.68,-89,46,1
2,154,0.95,-33,19,0.26,14,-75,0
2,155,0.5,98,-24,0.14,-76,46,1
2,156,0.39,-70,19,0.3,8,-37,0
2,157,0,0,-55,0.79,-64,23,1
2,158,0.87,-78,45,0.88,-69,83,1
2,159,0.86,-39,83,0.8,8,-88,0
2,160,0.07,-55,95,0.48,-13,99,0
2,161,0.39,10,-72,0.64,-72,32,0
2,162,0.55,89,-52,0.76,86,-75,1
2,163,0.7,55,-76,0.08,-56,26,1
2,164,0.27,25,-61,0.34,-82,3,0
2,165,0.56,85,-22,0.22,-70,66,0
2,166,0.58,-44,43,0.83,1,-70,0
2,167,0.4,-1,13,0.59,44,-50,0
2,168,0.88,-90,88,0.8,-86,14,0
2,169,0.91,-33,28,0.27,9,-67,0
2,170,0.89,-31,27,0.36,26,-48,1
2,171,0.3,98,-70,0.48,51,-99,0
2,172,0.59,-100,81,0.47,-73,15,0
